Experiment,Location,Date,Temperature_C,Salinity_ppt,Replicate_Chamber,Species,Habitat,Wet_weight_g,Wet_weight_kg,Empty weigh boat,Dry weight w boat,Ashed weight w boat,AFDW_g,AFDW_kg,Metab_Tissue_kg,Vol_displaced_ml,Vol_emptyChamber_ml,Animal_Vol,VOL_final_ml,Vol_final_L,Condition,Time_Holding_Tank,Temp_Holding_Tank,Time_Chamber,Start_exp,End_exp,Time_exp_min,MR_WetWeight_ml/h/g,MR_AFDW_ml/h/g,MR_MetabTiss_ml/h/g,VO2_ml/h,Regression range (t),rsquared
3.3,Bauline,24-09-2020,4,25.9,5,Strongylocentrotus droebachiensis,Kelp,48.3,0.0483,2.362,19.065,15.667,3.398,0.003398,0.044902,705,650,55,595,0.595,Field-fresh,3 days,14,9:10,10:10,11:45,95,0.0091527,0.1300984,0.0096284,0.444104,96-86%,0.997
3.3,Bauline,24-09-2020,4,25.9,6,Strongylocentrotus droebachiensis,Kelp,55.6,0.0556,2.55,22.892,18.769,4.123,0.004123,0.051477,710,650,60,590,0.59,Field-fresh,3 days,14,9:10,10:10,11:45,95,0.008209,0.1107004,0.0084574,0.4688025,93-83%,0.999
3.3,Bauline,24-09-2020,4,25.9,7,Strongylocentrotus droebachiensis,Kelp,55.9,0.0559,2.605,23.944,19.234,4.71,0.00471,0.05119,710,650,60,590,0.59,Field-fresh,3 days,14,9:10,10:10,11:45,95,0.0073528,0.0872656,0.0081159,0.4319299,93-83%,0.999
3.3,Bauline,24-09-2020,4,25.9,8,Strongylocentrotus droebachiensis,Kelp,67.1,0.0671,2.616,28.099,22.501,5.598,0.005598,0.061502,720,650,70,580,0.58,Field-fresh,3 days,14,9:10,10:10,11:45,95,0.0052654,0.0631132,0.0056652,0.3699005,96-86%,1
3.3,Bauline,24-09-2020,4,25.9,9,Strongylocentrotus droebachiensis,Kelp,58.5,0.0585,2.252,22.105,16.749,5.356,0.005356,0.053144,710,650,60,590,0.59,Field-fresh,3 days,14,9:10,10:10,11:45,95,0.006701,0.0731908,0.0073163,0.4026739,,0.999
3.3,Bauline,24-09-2020,4,25.9,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,,,,,,Field-fresh,3 days,14,9:10,10:10,11:45,95,,,,,,
3.4,Bauline,25-09-2020,18,27.2,1,Strongylocentrotus droebachiensis,Kelp,44.7,0.0447,2.37,18.104,14.162,3.942,0.003942,0.040758,700,650,50,600,0.6,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0259951,0.2947696,0.0299633,1.244893,98-88%,0.999
3.4,Bauline,25-09-2020,18,27.2,2,Strongylocentrotus droebachiensis,Kelp,29.3,0.0293,2.58,11.888,10.115,1.773,0.001773,0.027527,690,650,40,610,0.61,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0240387,0.3972546,0.0246754,0.6753816,95-85%,0.999
3.4,Bauline,25-09-2020,18,27.2,3,Strongylocentrotus droebachiensis,Kelp,34.1,0.0341,2.879,14.836,11.836,3,0.003,0.0311,695,650,45,605,0.605,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0282565,0.3211816,0.0302987,0.9227765,95-85%,0.994
3.4,Bauline,25-09-2020,18,27.2,4,Strongylocentrotus droebachiensis,Kelp,29.3,0.0293,2.46,13.434,10.707,2.727,0.002727,0.026573,690,650,40,610,0.61,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0234025,0.2514465,0.023403,0.6115192,95-85%,0.996
3.4,Bauline,25-09-2020,18,27.2,5,Strongylocentrotus droebachiensis,Barren,25.8,0.0258,2.875,11.943,10.126,1.817,0.001817,0.023983,680,650,30,620,0.62,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0248443,0.3527699,0.0270551,0.6424736,95-85%,0.999
3.4,Bauline,25-09-2020,18,27.2,6,Strongylocentrotus droebachiensis,Barren,36,0.036,2.799,14.375,12.269,2.106,0.002106,0.033894,695,650,45,605,0.605,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0172541,0.2949417,0.0174832,0.5934763,96-86%,0.999
3.4,Bauline,25-09-2020,18,27.2,7,Strongylocentrotus droebachiensis,Barren,25.1,0.0251,2.683,10.558,8.8,1.758,0.001758,0.023342,675,650,25,625,0.625,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0255551,0.3648648,0.0268084,0.6385898,96-86%,1
3.4,Bauline,25-09-2020,18,27.2,8,Strongylocentrotus droebachiensis,Barren,21.5,0.0215,2.675,9.709,8.896,0.813,0.000813,0.020687,670,650,20,630,0.63,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0155569,0.411406,0.0161445,0.3388613,100-94%,0.999
3.4,Bauline,25-09-2020,18,27.2,9,Strongylocentrotus droebachiensis,Barren,23.5,0.0235,2.934,11.273,9.617,1.656,0.001656,0.021844,675,650,25,625,0.625,Field-fresh,4 days,14,9:00,10:00,10:45,45,0.0229261,0.3253398,0.0238377,0.5249055,100-90%,0.999
3.4,Bauline,25-09-2020,18,27.2,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,,,,,,,4 days,14,9:00,10:00,10:45,45,,,,,,
3.5,Bauline,26-09-2020,26,28.1,1,Strongylocentrotus droebachiensis,Barren,37.8,0.0378,2.85,15.58,13.059,2.521,0.002521,0.035279,690,650,40,610,0.61,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.0314139,0.4710209,0.0336329,1.186431,100-90%,1
3.5,Bauline,26-09-2020,26,28.1,2,Strongylocentrotus droebachiensis,Barren,41,0.041,2.67,15.975,13.21,2.765,0.002765,0.038235,695,650,45,605,0.605,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.0266469,0.3951256,0.0287773,1.060956,94-84%,0.999
3.5,Bauline,26-09-2020,26,28.1,3,Strongylocentrotus droebachiensis,Barren,40.1,0.0401,2.744,16.049,12.811,3.238,0.003238,0.036862,695,650,45,605,0.605,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.0322371,0.3992308,0.0359731,1.313422,94-84%,0.999
3.5,Bauline,26-09-2020,26,28.1,4,Strongylocentrotus droebachiensis,Barren,45.4,0.0454,2.749,18.715,16.459,2.256,0.002256,0.043144,700,650,50,600,0.6,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.025052,0.5041488,0.0264731,1.122246,92-82%,0.995
3.5,Bauline,26-09-2020,26,28.1,5,Strongylocentrotus droebachiensis,Kelp,31,0.031,2.25,14.142,10.98,3.162,0.003162,0.027838,675,650,25,625,0.625,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.0359538,0.3524883,0.0398582,1.113544,98-88%,0.999
3.5,Bauline,26-09-2020,26,28.1,6,Strongylocentrotus droebachiensis,Kelp,37.2,0.0372,1.937,13.853,10.754,3.099,0.003099,0.034101,685,650,35,615,0.615,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.038716,0.4647423,0.0414763,1.378722,98-88%,1
3.5,Bauline,26-09-2020,26,28.1,7,Strongylocentrotus droebachiensis,Kelp,37.1,0.0371,5.3,18.88,15.502,3.378,0.003378,0.033722,690,650,40,610,0.61,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.0326869,0.3589952,0.0359956,1.185746,95-85%,1
3.5,Bauline,26-09-2020,26,28.1,8,Strongylocentrotus droebachiensis,Kelp,31.8,0.0318,4.021,15.266,12.318,2.948,0.002948,0.028852,680,650,30,620,0.62,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.0434844,0.469065,0.0483944,1.421344,95-85%,0.999
3.5,Bauline,26-09-2020,26,28.1,9,Strongylocentrotus droebachiensis,Kelp,41.5,0.0415,4.03,19.068,15.834,3.234,0.003234,0.038266,690,650,40,610,0.61,Field-fresh,5 days,14,9:30,10:30,11:00,30,0.0347856,0.4463833,0.0372904,1.421493,95-85%,0.999
3.5,Bauline,26-09-2020,26,28.1,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,,,,,,,5 days,14,9:30,10:30,11:00,30,,,,,,
3.6,Bauline,26-09-2020,10,26.7,1,Strongylocentrotus droebachiensis,Barren,61.3,0.0613,4.01,22.511,18.397,4.114,0.004114,0.057186,705,650,55,595,0.595,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.0104809,0.1561686,0.011033,0.647513,95-85%,0.997
3.6,Bauline,26-09-2020,10,26.7,2,Strongylocentrotus droebachiensis,Barren,62.7,0.0627,4.025,24.025,21.461,2.564,0.002564,0.060136,705,650,55,595,0.595,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.0062689,0.1532992,0.0064189,0.3800864,95-85%,0.994
3.6,Bauline,26-09-2020,10,26.7,3,Strongylocentrotus droebachiensis,Barren,52.4,0.0524,4.029,20.359,16.889,3.47,0.00347,0.04893,700,650,50,600,0.6,Field-fresh,6 days,14,12:20,13:30,14:30,60,,,,0.3549504,,0.16
3.6,Bauline,26-09-2020,10,26.7,4,Strongylocentrotus droebachiensis,Barren,47.5,0.0475,4.024,19.804,17.4,2.404,0.002404,0.045096,690,650,40,610,0.61,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.0066167,0.1307369,0.0069694,0.3091284,95-85%,0.991
3.6,Bauline,26-09-2020,10,26.7,5,Strongylocentrotus droebachiensis,Kelp,55.8,0.0558,4.002,23.871,19.572,4.299,0.004299,0.051501,695,650,45,605,0.605,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.0095847,0.1244071,0.0103754,0.5393301,95-85%,0.999
3.6,Bauline,26-09-2020,10,26.7,6,Strongylocentrotus droebachiensis,Kelp,43.3,0.0433,4.042,20.239,17.113,3.126,0.003126,0.040174,680,650,30,620,0.62,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.010233,0.1417431,0.0110499,0.4413811,95-85%,0.999
3.6,Bauline,26-09-2020,10,26.7,7,Strongylocentrotus droebachiensis,Kelp,39.5,0.0395,4.043,19.524,15.711,3.813,0.003813,0.035687,675,650,25,625,0.625,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.009429,0.097678,0.0104365,0.3721622,95-85%,0.998
3.6,Bauline,26-09-2020,10,26.7,8,Strongylocentrotus droebachiensis,Kelp,41.9,0.0419,4.033,18.565,15.155,3.41,0.00341,0.03849,675,650,25,625,0.625,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.0114431,0.1406062,0.0124569,0.4957103,95-85%,0.998
3.6,Bauline,26-09-2020,10,26.7,9,Strongylocentrotus droebachiensis,Kelp,47.5,0.0475,4.037,21.936,18.299,3.637,0.003637,0.043863,680,650,30,620,0.62,Field-fresh,6 days,14,12:20,13:30,14:30,60,0.0135957,0.1775632,0.0145942,0.6426827,95-85%,0.997
3.6,Bauline,26-09-2020,10,26.7,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,,,,,,,6 days,14,12:20,13:30,14:30,60,,,,,,
3.7,Bauline,28-09-2020,30,29.2,1,Strongylocentrotus droebachiensis,Kelp,32.5,0.0325,4.014,16.212,13.233,2.979,0.002979,0.029521,675,650,25,625,0.625,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0276313,0.3014493,0.0298801,0.8888921,95-85%,1
3.7,Bauline,28-09-2020,30,29.2,2,Strongylocentrotus droebachiensis,Kelp,31.2,0.0312,4.005,15.797,12.892,2.905,0.002905,0.028295,675,650,25,625,0.625,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0319846,0.3435175,0.033745,0.9123873,95-85%,0.997
3.7,Bauline,28-09-2020,30,29.2,3,Strongylocentrotus droebachiensis,Kelp,37.3,0.0373,4.029,18.307,14.724,3.583,0.003583,0.033717,680,650,30,620,0.62,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0252927,0.2633042,0.0287372,0.9444386,90-80%,1
3.7,Bauline,28-09-2020,30,29.2,4,Strongylocentrotus droebachiensis,Kelp,36.2,0.0362,4.032,17.97,14.774,3.196,0.003196,0.033004,680,650,30,620,0.62,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0224015,0.2537337,0.0253405,0.8322996,90-80%,0.998
3.7,Bauline,28-09-2020,30,29.2,5,Strongylocentrotus droebachiensis,Barren,15.2,0.0152,4.04,8.897,8.136,0.761,0.000761,0.014439,655,650,5,645,0.645,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0296578,0.5923766,0.0312209,0.4456756,98-88%,0.999
3.7,Bauline,28-09-2020,30,29.2,6,Strongylocentrotus droebachiensis,Barren,35.2,0.0352,4.049,16.171,14.104,2.067,0.002067,0.033133,675,650,25,625,0.625,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0296438,0.50482,0.0336593,1.02839,90-80%,0.989
3.7,Bauline,28-09-2020,30,29.2,7,Strongylocentrotus droebachiensis,Barren,34,0.034,4.015,15.342,12.989,2.353,0.002353,0.031647,670,650,20,630,0.63,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0240607,0.3476683,0.0256586,0.7793524,95-85%,0.997
3.7,Bauline,28-09-2020,30,29.2,8,Strongylocentrotus droebachiensis,Barren,30.7,0.0307,4.025,14.074,11.787,2.287,0.002287,0.028413,665,650,15,635,0.635,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.0406107,0.5451457,0.0412183,1.106736,95-85%,0.998
3.7,Bauline,28-09-2020,30,29.2,9,Strongylocentrotus droebachiensis,Barren,21.4,0.0214,4.042,10.744,9.504,1.24,0.00124,0.02016,660,650,10,640,0.64,Field-fresh,7 days,14,9:00,10:00,10:30,30,0.036033,0.6218594,0.0380234,0.775557,95-85%,0.999
3.7,Bauline,28-09-2020,30,29.2,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,,,,,,,7 days,14,9:00,10:00,10:30,30,,,,,,
3.8,Bauline,28-09-2020,8,26.8,1,Strongylocentrotus droebachiensis,Kelp,61.8,0.0618,4.033,25.97,19.222,6.748,0.006748,0.055052,690,650,40,610,0.61,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0070107,0.0642058,0.0075462,0.4652357,97-87%,0.999
3.8,Bauline,28-09-2020,8,26.8,2,Strongylocentrotus droebachiensis,Kelp,54.6,0.0546,4.032,22.256,16.763,5.493,0.005493,0.049107,675,650,25,625,0.625,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0086622,0.086102,0.0093581,0.4615185,,0.991
3.8,Bauline,28-09-2020,8,26.8,3,Strongylocentrotus droebachiensis,Kelp,58.7,0.0587,4.045,25.553,20.688,4.865,0.004865,0.053835,680,650,30,620,0.62,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0101232,0.1221446,0.0097323,0.5181868,91-85%,0.988
3.8,Bauline,28-09-2020,8,26.8,4,Strongylocentrotus droebachiensis,Kelp,39.9,0.0399,4.016,18.484,14.604,3.88,0.00388,0.03602,660,650,10,640,0.64,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0124702,0.1282372,0.014448,0.5001459,92-82%,0.995
3.8,Bauline,28-09-2020,8,26.8,5,Strongylocentrotus droebachiensis,Barren,63.4,0.0634,4.009,23.126,19.432,3.694,0.003694,0.059706,700,650,50,600,0.6,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0066846,0.1147268,0.0069208,0.4159343,92-87%,0.998
3.8,Bauline,28-09-2020,8,26.8,6,Strongylocentrotus droebachiensis,Barren,43.1,0.0431,4.011,18.74,15.869,2.871,0.002871,0.040229,690,650,40,610,0.61,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0082755,0.1242333,0.008918,0.3524243,,0.995
3.8,Bauline,28-09-2020,8,26.8,7,Strongylocentrotus droebachiensis,Barren,56,0.056,4.041,21.379,17.53,3.849,0.003849,0.052151,700,650,50,600,0.6,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0100969,0.1469021,0.0108421,0.504265,95-85%,0.999
3.8,Bauline,28-09-2020,8,26.8,8,Strongylocentrotus droebachiensis,Barren,48,0.048,4.035,19.654,15.787,3.867,0.003867,0.044133,690,650,40,610,0.61,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0112699,0.13989,0.0122574,0.5228648,95-85%,0.997
3.8,Bauline,28-09-2020,8,26.8,9,Strongylocentrotus droebachiensis,Barren,47.2,0.0472,4.035,18.727,15.959,2.768,0.002768,0.044432,690,650,40,610,0.61,Field-fresh,7 days,14,14:15,15:20,16:20,60,0.0066557,0.1134933,0.0070703,0.3423423,96-88%,0.997
3.8,Bauline,28-09-2020,8,26.8,10,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,,NA,,,,,,7 days,14,14:15,15:20,16:20,60,,,,,,1
4.3,Biscayan Cove,,28,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.3,Biscayan Cove,,24,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.3,Biscayan Cove,,20,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.3,Biscayan Cove,,16,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.3,Biscayan Cove,,12,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.3,Biscayan Cove,,8,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.3,Biscayan Cove,,6,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,1
